N,Fichier Entrée,Fichier Sortie,Temps (ms)
1,in_1.txt,out_1.txt,0
2,in_2.txt,out_2.txt,0
3,in_3.txt,out_3.txt,0
4,in_4.txt,out_4.txt,0
5,in_5.txt,out_5.txt,0
6,in_6.txt,out_6.txt,0
7,in_7.txt,out_7.txt,0
8,in_8.txt,out_8.txt,0
9,in_9.txt,out_9.txt,0
10,in_10.txt,out_10.txt,0
11,in_11.txt,out_11.txt,0
12,in_12.txt,out_12.txt,0
13,in_13.txt,out_13.txt,0
14,in_14.txt,out_14.txt,0
15,in_15.txt,out_15.txt,0
16,in_16.txt,out_16.txt,0
17,in_17.txt,out_17.txt,0
18,in_18.txt,out_18.txt,0
19,in_19.txt,out_19.txt,0
20,in_20.txt,out_20.txt,0
21,in_21.txt,out_21.txt,0
22,in_22.txt,out_22.txt,0
23,in_23.txt,out_23.txt,0
24,in_24.txt,out_24.txt,0
25,in_25.txt,out_25.txt,0
26,in_26.txt,out_26.txt,0
27,in_27.txt,out_27.txt,0
28,in_28.txt,out_28.txt,0
29,in_29.txt,out_29.txt,0
30,in_30.txt,out_30.txt,0
31,in_31.txt,out_31.txt,0
32,in_32.txt,out_32.txt,0
33,in_33.txt,out_33.txt,0
34,in_34.txt,out_34.txt,0
35,in_35.txt,out_35.txt,0
36,in_36.txt,out_36.txt,0
37,in_37.txt,out_37.txt,0
38,in_38.txt,out_38.txt,0
39,in_39.txt,out_39.txt,0
40,in_40.txt,out_40.txt,0
41,in_41.txt,out_41.txt,0
42,in_42.txt,out_42.txt,0
43,in_43.txt,out_43.txt,0
44,in_44.txt,out_44.txt,0
45,in_45.txt,out_45.txt,0
46,in_46.txt,out_46.txt,1
47,in_47.txt,out_47.txt,0
48,in_48.txt,out_48.txt,1
49,in_49.txt,out_49.txt,1
50,in_50.txt,out_50.txt,1
51,in_51.txt,out_51.txt,1
52,in_52.txt,out_52.txt,1
53,in_53.txt,out_53.txt,1
54,in_54.txt,out_54.txt,1
55,in_55.txt,out_55.txt,1
56,in_56.txt,out_56.txt,2
57,in_57.txt,out_57.txt,2
58,in_58.txt,out_58.txt,2
59,in_59.txt,out_59.txt,1
60,in_60.txt,out_60.txt,1
61,in_61.txt,out_61.txt,1
62,in_62.txt,out_62.txt,1
63,in_63.txt,out_63.txt,1
64,in_64.txt,out_64.txt,1
65,in_65.txt,out_65.txt,1
66,in_66.txt,out_66.txt,1
67,in_67.txt,out_67.txt,2
68,in_68.txt,out_68.txt,1
69,in_69.txt,out_69.txt,1
70,in_70.txt,out_70.txt,2
71,in_71.txt,out_71.txt,2
72,in_72.txt,out_72.txt,3
73,in_73.txt,out_73.txt,1
74,in_74.txt,out_74.txt,1
75,in_75.txt,out_75.txt,2
76,in_76.txt,out_76.txt,2
77,in_77.txt,out_77.txt,2
78,in_78.txt,out_78.txt,2
79,in_79.txt,out_79.txt,2
80,in_80.txt,out_80.txt,4
81,in_81.txt,out_81.txt,2
82,in_82.txt,out_82.txt,2
83,in_83.txt,out_83.txt,3
84,in_84.txt,out_84.txt,2
85,in_85.txt,out_85.txt,3
86,in_86.txt,out_86.txt,3
87,in_87.txt,out_87.txt,3
88,in_88.txt,out_88.txt,3
89,in_89.txt,out_89.txt,3
90,in_90.txt,out_90.txt,3
91,in_91.txt,out_91.txt,6
92,in_92.txt,out_92.txt,3
93,in_93.txt,out_93.txt,6
94,in_94.txt,out_94.txt,3
95,in_95.txt,out_95.txt,3
96,in_96.txt,out_96.txt,3
97,in_97.txt,out_97.txt,3
98,in_98.txt,out_98.txt,3
99,in_99.txt,out_99.txt,3
100,in_100.txt,out_100.txt,3
101,in_101.txt,out_101.txt,3
102,in_102.txt,out_102.txt,3
103,in_103.txt,out_103.txt,3
104,in_104.txt,out_104.txt,3
105,in_105.txt,out_105.txt,4
106,in_106.txt,out_106.txt,4
107,in_107.txt,out_107.txt,4
108,in_108.txt,out_108.txt,4
109,in_109.txt,out_109.txt,3
110,in_110.txt,out_110.txt,4
111,in_111.txt,out_111.txt,4
112,in_112.txt,out_112.txt,4
113,in_113.txt,out_113.txt,3
114,in_114.txt,out_114.txt,3
115,in_115.txt,out_115.txt,3
116,in_116.txt,out_116.txt,4
117,in_117.txt,out_117.txt,6
118,in_118.txt,out_118.txt,4
119,in_119.txt,out_119.txt,4
120,in_120.txt,out_120.txt,4
121,in_121.txt,out_121.txt,4
122,in_122.txt,out_122.txt,4
123,in_123.txt,out_123.txt,4
124,in_124.txt,out_124.txt,4
125,in_125.txt,out_125.txt,4
126,in_126.txt,out_126.txt,5
127,in_127.txt,out_127.txt,5
128,in_128.txt,out_128.txt,4
129,in_129.txt,out_129.txt,4
130,in_130.txt,out_130.txt,4
131,in_131.txt,out_131.txt,4
132,in_132.txt,out_132.txt,4
133,in_133.txt,out_133.txt,4
134,in_134.txt,out_134.txt,4
135,in_135.txt,out_135.txt,4
136,in_136.txt,out_136.txt,4
137,in_137.txt,out_137.txt,4
138,in_138.txt,out_138.txt,4
139,in_139.txt,out_139.txt,4
140,in_140.txt,out_140.txt,5
141,in_141.txt,out_141.txt,4
142,in_142.txt,out_142.txt,4
143,in_143.txt,out_143.txt,5
144,in_144.txt,out_144.txt,5
145,in_145.txt,out_145.txt,5
146,in_146.txt,out_146.txt,4
147,in_147.txt,out_147.txt,5
148,in_148.txt,out_148.txt,5
149,in_149.txt,out_149.txt,4
150,in_150.txt,out_150.txt,4
151,in_151.txt,out_151.txt,5
152,in_152.txt,out_152.txt,5
153,in_153.txt,out_153.txt,5
154,in_154.txt,out_154.txt,4
155,in_155.txt,out_155.txt,4
156,in_156.txt,out_156.txt,5
157,in_157.txt,out_157.txt,5
158,in_158.txt,out_158.txt,6
159,in_159.txt,out_159.txt,5
160,in_160.txt,out_160.txt,5
161,in_161.txt,out_161.txt,5
162,in_162.txt,out_162.txt,5
163,in_163.txt,out_163.txt,5
164,in_164.txt,out_164.txt,5
165,in_165.txt,out_165.txt,5
166,in_166.txt,out_166.txt,5
167,in_167.txt,out_167.txt,5
168,in_168.txt,out_168.txt,6
169,in_169.txt,out_169.txt,5
170,in_170.txt,out_170.txt,5
171,in_171.txt,out_171.txt,8
172,in_172.txt,out_172.txt,7
173,in_173.txt,out_173.txt,7
174,in_174.txt,out_174.txt,7
175,in_175.txt,out_175.txt,7
176,in_176.txt,out_176.txt,7
177,in_177.txt,out_177.txt,7
178,in_178.txt,out_178.txt,7
179,in_179.txt,out_179.txt,7
180,in_180.txt,out_180.txt,7
181,in_181.txt,out_181.txt,7
182,in_182.txt,out_182.txt,9
183,in_183.txt,out_183.txt,8
184,in_184.txt,out_184.txt,8
185,in_185.txt,out_185.txt,8
186,in_186.txt,out_186.txt,8
187,in_187.txt,out_187.txt,8
188,in_188.txt,out_188.txt,8
189,in_189.txt,out_189.txt,8
190,in_190.txt,out_190.txt,9
191,in_191.txt,out_191.txt,9
192,in_192.txt,out_192.txt,9
193,in_193.txt,out_193.txt,8
194,in_194.txt,out_194.txt,9
195,in_195.txt,out_195.txt,8
196,in_196.txt,out_196.txt,9
197,in_197.txt,out_197.txt,8
198,in_198.txt,out_198.txt,8
199,in_199.txt,out_199.txt,9
200,in_200.txt,out_200.txt,9
201,in_201.txt,out_201.txt,9
202,in_202.txt,out_202.txt,10
203,in_203.txt,out_203.txt,9
204,in_204.txt,out_204.txt,9
205,in_205.txt,out_205.txt,9
206,in_206.txt,out_206.txt,9
207,in_207.txt,out_207.txt,9
208,in_208.txt,out_208.txt,10
209,in_209.txt,out_209.txt,9
210,in_210.txt,out_210.txt,11
211,in_211.txt,out_211.txt,9
212,in_212.txt,out_212.txt,10
213,in_213.txt,out_213.txt,9
214,in_214.txt,out_214.txt,10
215,in_215.txt,out_215.txt,9
216,in_216.txt,out_216.txt,9
217,in_217.txt,out_217.txt,9
218,in_218.txt,out_218.txt,11
219,in_219.txt,out_219.txt,10
220,in_220.txt,out_220.txt,10
221,in_221.txt,out_221.txt,10
222,in_222.txt,out_222.txt,11
223,in_223.txt,out_223.txt,10
224,in_224.txt,out_224.txt,10
225,in_225.txt,out_225.txt,10
226,in_226.txt,out_226.txt,13
227,in_227.txt,out_227.txt,11
228,in_228.txt,out_228.txt,11
229,in_229.txt,out_229.txt,11
230,in_230.txt,out_230.txt,10
231,in_231.txt,out_231.txt,11
232,in_232.txt,out_232.txt,11
233,in_233.txt,out_233.txt,11
234,in_234.txt,out_234.txt,11
235,in_235.txt,out_235.txt,11
236,in_236.txt,out_236.txt,11
237,in_237.txt,out_237.txt,12
238,in_238.txt,out_238.txt,10
239,in_239.txt,out_239.txt,11
240,in_240.txt,out_240.txt,12
241,in_241.txt,out_241.txt,11
242,in_242.txt,out_242.txt,11
243,in_243.txt,out_243.txt,12
244,in_244.txt,out_244.txt,11
245,in_245.txt,out_245.txt,12
246,in_246.txt,out_246.txt,12
247,in_247.txt,out_247.txt,12
248,in_248.txt,out_248.txt,12
249,in_249.txt,out_249.txt,12
250,in_250.txt,out_250.txt,12
251,in_251.txt,out_251.txt,13
252,in_252.txt,out_252.txt,14
253,in_253.txt,out_253.txt,12
254,in_254.txt,out_254.txt,12
255,in_255.txt,out_255.txt,13
256,in_256.txt,out_256.txt,12
257,in_257.txt,out_257.txt,13
258,in_258.txt,out_258.txt,13
259,in_259.txt,out_259.txt,13
260,in_260.txt,out_260.txt,13
261,in_261.txt,out_261.txt,13
262,in_262.txt,out_262.txt,14
263,in_263.txt,out_263.txt,14
264,in_264.txt,out_264.txt,13
265,in_265.txt,out_265.txt,13
266,in_266.txt,out_266.txt,13
267,in_267.txt,out_267.txt,13
268,in_268.txt,out_268.txt,14
269,in_269.txt,out_269.txt,16
